Po_Clu_ID,Po_Clu_Time,Po_Clu_Lat,Po_Clu_Lon,Po_Clu_Depth,Po_Clu_faultType,Event1_ID,Event1_Time,Event1_Lat,Event1_Lon,Event1_Depth,Event1_faultType,TimeDiff_sec
228000017,07-Oct-2022 14:13:32,45.94777,-129.99291,0.39,N,130,07-Oct-2022 14:13:31,45.955,-129.98801,1.66,N,0.430011749267578
303400148,03-Feb-2023 20:34:56,45.94071,-129.98715,1.65,R,1490,03-Feb-2023 20:34:56,45.941,-129.98801,1.8,S,0.0900015234947205
305000013,19-Feb-2023 01:27:30,45.94653,-129.98648,1.134,U,1603,19-Feb-2023 01:27:29,45.952,-129.993,1.6,S,0.720002129673958
305100026,20-Feb-2023 04:15:33,45.94166,-129.98797,0.532,U,1620,20-Feb-2023 04:15:33,45.94,-129.98801,1.3,S,0.149989128112793
306100027,02-Mar-2023 23:01:45,45.94356,-129.9879,0.518,S,1762,02-Mar-2023 23:01:45,45.945,-129.991,1.3,R,0.0600077211856842
306800002,09-Mar-2023 03:52:19,45.94102,-129.98702,1.21,R,1845,09-Mar-2023 03:52:19,45.944,-129.985,1.8,N,0.640008598566055
309200003,02-Apr-2023 00:03:15,45.94527,-129.99115,0.54,N,2086,02-Apr-2023 00:03:15,45.95,-129.994,1.8,S,0.0999994575977325
309200004,02-Apr-2023 00:03:26,45.94576,-129.99084,0.537,S,2087,02-Apr-2023 00:03:26,45.955,-129.994,1.7,S,0.259996578097343
309400017,04-Apr-2023 02:51:22,45.95282,-129.98767,1.664,N,2135,04-Apr-2023 02:51:22,45.955,-129.994,1.9,N,0.0699955970048904
310600128,16-Apr-2023 15:07:36,45.94268,-129.98861,0.501,U,2896,16-Apr-2023 15:07:36,45.942,-129.99001,1.6,N,0.00999793410301208
310900052,19-Apr-2023 18:07:02,45.95291,-129.98851,1.598,N,3082,19-Apr-2023 18:07:01,45.954,-129.994,1.8,N,0.170005112886429
310900062,19-Apr-2023 18:21:46,45.94763,-129.99261,0.381,S,3089,19-Apr-2023 18:21:46,45.951,-129.992,1.9,N,0.849995389580727
310900065,19-Apr-2023 18:25:29,45.95298,-129.98803,1.632,N,3090,19-Apr-2023 18:25:29,45.953,-129.995,1.8,N,0.0900115817785263
310900066,19-Apr-2023 18:26:40,45.94736,-129.99227,0.355,S,3091,19-Apr-2023 18:26:40,45.955,-129.994,1.9,S,0.620002672076225
310900067,19-Apr-2023 18:27:22,45.94725,-129.99262,0.37,S,3092,19-Apr-2023 18:27:22,45.954,-129.993,1.9,S,0.609994679689407
310900074,19-Apr-2023 18:37:37,45.94669,-129.9923,0.27,S,3097,19-Apr-2023 18:37:37,45.955,-129.994,1.8,N,0.149999186396599
310900076,19-Apr-2023 18:42:04,45.94744,-129.99245,0.4,S,3099,19-Apr-2023 18:42:04,45.953,-129.995,1.8,S,0.109997391700745
310900077,19-Apr-2023 18:43:14,45.94112,-129.9991,0.326,R,3100,19-Apr-2023 18:43:14,45.948,-129.996,1.9,N,0.0100079923868179
310900078,19-Apr-2023 18:43:24,45.95289,-129.98826,1.604,N,3101,19-Apr-2023 18:43:24,45.955,-129.995,1.8,S,0.609994679689407
310900083,19-Apr-2023 18:45:15,45.94506,-129.9857,1.755,U,3103,19-Apr-2023 18:45:14,45.944,-129.98599,2.2,N,0.499997287988663
310900086,19-Apr-2023 18:47:13,45.94564,-129.98704,1.531,U,3105,19-Apr-2023 18:47:13,45.944,-129.994,1.7,N,0.109997391700745
310900087,19-Apr-2023 18:47:44,45.94461,-129.98639,1.706,U,3106,19-Apr-2023 18:47:44,45.947,-129.994,1.9,S,0.109987333416939
310900088,19-Apr-2023 18:47:51,45.94451,-129.98736,1.541,U,3107,19-Apr-2023 18:47:51,45.947,-129.994,1.7,N,0.130003318190575
310900098,19-Apr-2023 18:53:30,45.94421,-129.98624,1.941,U,3109,19-Apr-2023 18:53:30,45.944,-129.991,1.8,N,0.0199958682060242
310900099,19-Apr-2023 19:01:28,45.95324,-129.9881,1.632,N,3110,19-Apr-2023 19:01:28,45.954,-129.995,1.8,S,0.149999186396599
310900106,19-Apr-2023 19:43:29,45.9474,-129.99218,0.45,N,3115,19-Apr-2023 19:43:29,45.952,-129.993,1.9,S,0.189990922808647
310900107,19-Apr-2023 19:44:22,45.95366,-129.98796,1.667,N,3116,19-Apr-2023 19:44:21,45.952,-129.994,1.8,S,0.580000877380371
310900123,19-Apr-2023 21:36:47,45.94763,-129.99231,0.452,N,3127,19-Apr-2023 21:36:47,45.955,-129.994,1.6,S,0.220004841685295
311200021,22-Apr-2023 14:23:15,45.94617,-129.99111,0.463,S,3198,22-Apr-2023 14:23:15,45.953,-129.996,1.9,S,0.140001252293587
311200023,22-Apr-2023 14:36:49,45.94604,-129.99114,0.45,S,3200,22-Apr-2023 14:36:49,45.954,-129.993,1.8,S,0.159997120499611
311200025,22-Apr-2023 15:03:39,45.94727,-129.99212,0.467,S,3201,22-Apr-2023 15:03:39,45.951,-129.993,1.9,S,0.0899914652109146
311200029,22-Apr-2023 15:21:32,45.94726,-129.99206,0.469,S,3203,22-Apr-2023 15:21:32,45.95,-129.995,1.7,S,0.689998269081116
311800010,28-Apr-2023 17:08:55,45.94768,-129.99313,0.367,U,3416,28-Apr-2023 17:08:54,45.952,-129.996,1.8,S,0.770001858472824
312800036,08-May-2023 20:57:31,45.94088,-129.98776,1.32,S,3547,08-May-2023 20:57:30,45.942,-129.995,1.9,S,0.610004737973213
313700016,17-May-2023 12:40:36,45.94526,-129.99097,0.374,S,3651,17-May-2023 12:40:36,45.95,-129.994,1.7,N,0.100009515881538
313700025,17-May-2023 12:53:21,45.94868,-129.98668,1.576,N,3654,17-May-2023 12:53:21,45.954,-129.994,1.8,S,0.109997391700745
314600016,26-May-2023 09:53:02,45.94694,-129.98712,1.459,S,4104,26-May-2023 09:53:01,45.946,-129.99001,1.9,N,0.389999896287918
315300043,02-Jun-2023 15:20:13,45.94137,-129.9901,0.437,U,4244,02-Jun-2023 15:20:13,45.94,-129.991,1.3,S,0.0400017946958542
315500029,04-Jun-2023 15:16:10,45.94825,-129.987,1.585,U,4329,04-Jun-2023 15:16:10,45.948,-129.99001,1.7,S,0.00999793410301208
315700044,06-Jun-2023 16:09:01,45.95428,-129.9906,1.602,N,4374,06-Jun-2023 16:09:00,45.955,-129.995,1.9,S,0.829999521374702
316300032,12-Jun-2023 23:06:39,45.94128,-129.98983,0.596,S,4539,12-Jun-2023 23:06:39,45.941,-129.993,1.7,N,0.130003318190575
316300038,12-Jun-2023 23:17:09,45.94024,-129.98905,0.979,S,4543,12-Jun-2023 23:17:09,45.94,-129.99001,1.7,N,0.0600077211856842
316300041,12-Jun-2023 23:18:42,45.94139,-129.99009,0.578,U,4546,12-Jun-2023 23:18:42,45.941,-129.993,1.8,N,0.0599976629018784
317800076,27-Jun-2023 16:13:18,45.94196,-129.98762,0.501,N,4737,27-Jun-2023 16:13:19,45.948,-129.992,1.6,S,0.0999893993139267
317900035,28-Jun-2023 22:53:04,45.95034,-129.98634,1.63,N,4759,28-Jun-2023 22:53:03,45.949,-129.991,1.7,S,0.599996745586395
317900048,28-Jun-2023 23:05:29,45.94654,-129.99054,0.579,S,4763,28-Jun-2023 23:05:29,45.953,-129.993,2,S,0.73000006377697
318300008,02-Jul-2023 09:23:35,45.94058,-129.98716,0.476,R,4845,02-Jul-2023 09:23:35,45.943,-129.985,1.2,R,0.249998643994331
318300037,02-Jul-2023 12:37:46,45.94349,-129.98946,0.537,S,4860,02-Jul-2023 12:37:46,45.944,-129.992,1.8,N,0.349998101592064
318300038,02-Jul-2023 12:38:09,45.94368,-129.98942,0.581,N,4861,02-Jul-2023 12:38:09,45.947,-129.996,1.8,S,0.169995054602623
322400021,12-Aug-2023 13:23:20,45.94308,-129.98726,0.481,U,5303,12-Aug-2023 13:23:20,45.942,-129.989,1.7,S,0.02000592648983
323100026,19-Aug-2023 17:54:32,45.94482,-129.98818,0.462,U,5396,19-Aug-2023 17:54:32,45.946,-129.99001,1.7,S,0.0699955970048904
323700099,25-Aug-2023 08:15:22,45.94488,-129.99137,0.259,S,5496,25-Aug-2023 08:15:22,45.945,-129.989,1.6,N,0.180003046989441
